LotArea,BldgType,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalFinSF,TotalBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,YrSold,SalePrice
8100,1Fam,5,1898,1965,PConc,2138,2,2,11,2,2009,106000
14762,1Fam,6,1948,1950,Slab,2320,2,2,7,2,2006,169000
8750,1Fam,5,1996,1996,PConc,1716,2.5,2,7,2,2009,191000
8125,1Fam,5,2006,2007,PConc,2362,3,2,7,2,2009,241000
13869,1Fam,6,1997,1997,PConc,1652,2.5,3,6,2,2007,177000
11645,1Fam,5,2004,2004,PConc,1720,2.5,3,7,2,2006,196500
10141,1Fam,5,1998,1998,PConc,1718,2.5,3,7,2,2009,185000
11911,1Fam,5,2005,2005,PConc,1560,2.5,3,6,2,2009,174000
9765,1Fam,8,1993,1993,PConc,1780,2.5,3,6,2,2009,185000
9375,1Fam,5,2003,2004,PConc,1992,2.5,3,9,2,2008,250000
9505,1Fam,5,2001,2001,PConc,2035,2.5,3,8,2,2010,222500
12552,1Fam,5,2004,2005,PConc,2169,2.5,3,8,2,2010,254900
8244,1Fam,5,2004,2004,PConc,1720,2.5,3,7,2,2007,183500
9453,1Fam,7,1993,2003,PConc,2146,2.5,3,7,2,2010,194500
11317,1Fam,5,2003,2003,PConc,1668,2.5,3,8,2,2007,180000
8366,1Fam,5,2004,2004,PConc,1640,2.5,3,6,2,2008,173000
8791,1Fam,5,2003,2003,PConc,2231,2.5,3,7,2,2008,207500
12435,1Fam,5,2001,2001,PConc,2153,2.5,3,7,2,2008,231500
7399,1Fam,5,1997,1998,PConc,2599,2.5,3,7,2,2007,239000
7685,1Fam,5,1993,1994,PConc,2019,2.5,3,6,2,2006,165600
8121,1Fam,5,2000,2000,PConc,1664,2.5,3,7,2,2006,172400
8123,1Fam,5,2000,2000,PConc,1800,2.5,3,7,2,2009,179000
9245,1Fam,5,2006,2006,PConc,1797,2.5,3,8,2,2007,213500
10364,1Fam,5,1995,1996,PConc,1572,2.5,3,7,2,2007,168000
10839,1Fam,5,1997,1998,PConc,1604,2.5,3,7,2,2008,181000
9000,1Fam,5,2008,2008,PConc,1590,2.5,3,6,2,2009,210000
9291,1Fam,5,1993,1993,PConc,2136,2.5,3,7,2,2008,187000
9803,1Fam,5,2005,2005,PConc,2168,2.5,3,7,2,2008,226700
9554,1Fam,5,1993,1994,PConc,2291,2.5,3,8,2,2006,215000
9056,1Fam,5,2004,2004,PConc,1414,2.5,3,6,2,2006,178000
8924,1Fam,5,1998,1999,PConc,1724,2.5,3,8,2,2008,188000
8320,1Fam,5,2004,2004,PConc,2072,2.5,3,6,2,2008,185900
8125,1Fam,6,2007,2007,PConc,1665,2.5,3,7,2,2008,205950
11194,1Fam,5,2000,2000,PConc,1936,2.5,3,7,2,2006,230500
11404,1Fam,5,1998,1999,PConc,2283,2.5,3,8,2,2008,222500
9313,1Fam,5,2004,2004,PConc,1728,2.5,3,7,2,2009,190000
7750,1Fam,5,2003,2003,PConc,1320,2.5,3,6,2,2007,162000
10769,1Fam,5,2007,2007,PConc,1788,2.5,3,7,2,2009,212000
8640,1Fam,5,2009,2009,PConc,1571,2.5,3,7,2,2010,215200
