MSSubClass,LotArea,BldgType,OverallCond,YearBuilt,YearRemodAdd,Age,Remodel Age,Foundation,BsmtUnfSF,BsmtFinSF,TotalBsmtSF,GrLivArea,TotalFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotalFullBath,TotalHalfBath,TotalBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,MoSold,YrSold,SalePrice
60,8450,1Fam,5,2003,2003,8,8,PConc,150,706,856,1710,2416,1,0,2,1,3,1,3.5,3,8,2,2,2008,208500
60,11250,1Fam,5,2001,2002,10,9,PConc,434,486,920,1786,2272,1,0,2,1,3,1,3.5,3,6,2,9,2008,223500
60,14260,1Fam,5,2000,2000,11,11,PConc,490,655,1145,2198,2853,1,0,2,1,3,1,3.5,4,9,3,12,2008,250000
60,10382,1Fam,6,1973,1973,38,38,CBlock,216,891,1107,2090,2981,1,0,2,1,3,1,3.5,3,7,2,11,2009,200000
60,13418,1Fam,5,2004,2005,7,6,PConc,1117,0,1117,2452,2452,0,0,3,1,3,1,3.5,4,9,3,9,2006,309000
60,13869,1Fam,6,1997,1997,14,14,PConc,612,182,794,1470,1652,0,1,2,0,2,1,2.5,3,6,2,7,2007,177000
60,11645,1Fam,5,2004,2004,7,7,PConc,860,0,860,1720,1720,0,0,2,1,2,1,2.5,3,7,2,8,2006,196500
60,9375,1Fam,5,1997,1998,14,13,PConc,318,739,1057,2034,2773,1,0,2,1,3,1,3.5,3,8,2,2,2009,219500
60,9591,1Fam,5,2004,2005,7,6,PConc,1143,0,1143,2473,2473,0,0,2,1,2,1,2.5,4,9,3,10,2007,317000
60,10141,1Fam,5,1998,1998,13,13,PConc,832,0,832,1718,1718,0,0,2,1,2,1,2.5,3,7,2,12,2009,185000
60,13000,1Fam,6,1968,1968,43,43,CBlock,448,448,896,2142,2590,0,0,2,1,2,1,2.5,4,8,1,6,2009,193500
60,16059,1Fam,5,1991,1992,20,19,CBlock,1288,0,1288,2417,2417,0,0,2,1,2,1,2.5,4,9,2,4,2006,260000
60,11911,1Fam,5,2005,2005,6,6,PConc,684,0,684,1560,1560,0,0,2,1,2,1,2.5,3,6,2,3,2009,174000
60,9337,1Fam,5,1997,1997,14,14,PConc,176,648,824,1786,2434,1,0,2,1,3,1,3.5,3,7,2,5,2007,204750
60,9765,1Fam,8,1993,1993,18,18,PConc,370,310,680,1470,1780,0,0,2,1,2,1,2.5,3,6,2,4,2009,185000
60,9206,1Fam,5,1985,1985,26,26,CBlock,741,0,741,1732,1732,0,0,2,1,2,1,2.5,3,7,2,6,2010,178000
60,9375,1Fam,5,2003,2004,8,7,PConc,1053,0,1053,1992,1992,0,0,2,1,2,1,2.5,3,9,2,8,2008,250000
60,12376,1Fam,5,1990,1990,21,21,PConc,203,1470,1673,3222,4692,1,0,3,0,4,0,4,5,11,3,5,2010,320000
60,7590,1Fam,5,1966,1966,45,45,CBlock,148,512,660,1348,1860,0,0,1,1,1,1,1.5,3,6,2,7,2006,155000
60,14200,1Fam,6,1966,1966,45,45,CBlock,479,445,924,2157,2602,0,0,2,1,2,1,2.5,4,8,2,5,2006,226000
60,12224,1Fam,5,2000,2000,11,11,PConc,297,695,992,2054,2749,1,0,2,1,3,1,3.5,3,7,2,7,2009,244000
60,9066,1Fam,5,1999,2000,12,11,PConc,336,668,1004,1852,2520,0,0,2,1,2,1,2.5,3,7,3,12,2008,230000
60,15426,1Fam,5,1997,1997,14,14,PConc,107,821,928,1764,2585,1,0,2,1,3,1,3.5,3,7,2,8,2009,231500
60,9505,1Fam,5,2001,2001,10,10,PConc,884,0,884,2035,2035,0,0,2,1,2,1,2.5,3,8,2,5,2010,222500
60,14803,1Fam,5,1971,1971,40,40,CBlock,409,416,825,1993,2409,0,0,2,1,2,1,2.5,4,8,2,6,2006,190000
60,12552,1Fam,5,2004,2005,7,6,PConc,769,222,991,1947,2169,0,0,2,1,2,1,2.5,3,8,2,5,2010,254900
60,13688,1Fam,5,2003,2004,8,7,PConc,556,1016,1572,2668,3684,1,0,2,1,3,1,3.5,3,10,3,3,2008,412500
60,8244,1Fam,5,2004,2004,7,7,PConc,840,0,840,1720,1720,0,0,2,1,2,1,2.5,3,7,2,5,2007,183500
60,10029,1Fam,5,1988,1989,23,22,PConc,320,831,1151,2060,2891,0,1,2,1,2,2,3,4,8,2,9,2007,211000
60,7472,1Fam,9,1972,2004,39,7,CBlock,99,626,725,1479,2105,1,0,1,1,2,1,2.5,4,7,2,6,2007,184000
60,14364,1Fam,5,1988,1989,23,22,CBlock,92,1065,1157,2062,3127,1,0,2,1,3,1,3.5,3,7,2,4,2007,277000
